,CLAVE_MUNICIPIO,MUNICIPIO,CLAVE_ENTIDAD,ENTIDAD,M_LAT,M_LON
56,21,"NADADORES, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,27.230653,-101.77089456790571
57,22,"NAVA, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,28.493132000000003,-100.64294376573363
58,23,"OCAMPO, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,28.05294585,-102.97291032587705
59,24,"PARRAS, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,25.591946,-102.38397132077614
60,25,"PIEDRAS NEGRAS, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,28.704596,-100.5167137
61,26,"PROGRESO, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,27.37352345,-100.86853946842335
62,27,"RAMOS ARIZPE, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,25.540787,-100.9466688
63,28,"SABINAS, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,27.942464049999998,-101.07278132672445
64,29,"SACRAMENTO, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,26.91860995,-101.7612433602815
65,30,"SALTILLO, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,25.4230425,-100.9927509
66,31,"SAN BUENAVENTURA, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,27.84153645,-101.93663388663362
67,32,"SAN JUAN DE SABINAS, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,28.0646267,-101.39035376389009
68,33,"SAN PEDRO, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,26.1249273,-102.77456283182991
69,34,"SIERRA MOJADA, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,27.5836885,-103.67692975345017
70,35,"TORREÓN, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,25.542698,-103.410512
71,36,"VIESCA, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,25.190017949999998,-102.86086733544606
72,37,"VILLA UNIÓN, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,28.0963857,-100.79781255580832
73,38,"ZARAGOZA, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,28.86954205,-101.52453681159054
74,999,"NO ESPECIFICADO, COAHUILA DE ZARAGOZA",5,COAHUILA DE ZARAGOZA,,
75,1,"ARMERÍA, COLIMA",6,COLIMA,19.009247000000002,-103.98135311380344
76,2,"COLIMA, COLIMA",6,COLIMA,19.2433991,-103.7280738
77,3,"COMALA, COLIMA",6,COLIMA,19.39542235,-103.78396319508431
78,4,"COQUIMATLÁN, COLIMA",6,COLIMA,19.1759779,-103.92391335718723
79,5,"CUAUHTÉMOC, COLIMA",6,COLIMA,19.33854285,-103.58184874962902
80,6,"IXTLAHUACÁN, COLIMA",6,COLIMA,18.958128549999998,-103.6858203896264
81,7,"MANZANILLO, COLIMA",6,COLIMA,19.127656950000002,-104.28412563007706
82,8,"MINATITLÁN, COLIMA",6,COLIMA,19.3731766,-104.00082931261579
83,9,"TECOMÁN, COLIMA",6,COLIMA,18.9109158,-103.873409
84,10,"VILLA DE ÁLVAREZ, COLIMA",6,COLIMA,19.2651417,-103.736013
85,999,"NO ESPECIFICADO, COLIMA",6,COLIMA,,
86,1,"ACACOYAGUA, CHIAPAS",7,CHIAPAS,15.4060577,-92.69729393057881
87,2,"ACALA, CHIAPAS",7,CHIAPAS,16.5367734,-92.82328475086368
88,3,"ACAPETAHUA, CHIAPAS",7,CHIAPAS,15.22240985,-92.76650699242194
89,4,"ALTAMIRANO, CHIAPAS",7,CHIAPAS,16.66758885,-91.87675364782305
90,5,"AMATÁN, CHIAPAS",7,CHIAPAS,17.389028500000002,-92.85033677680995
91,6,"AMATENANGO DE LA FRONTERA, CHIAPAS",7,CHIAPAS,15.523258949999999,-92.0861047339208
92,7,"AMATENANGO DEL VALLE, CHIAPAS",7,CHIAPAS,16.5162476,-92.40065060801203
93,8,"ANGEL ALBINO CORZO, CHIAPAS",7,CHIAPAS,15.7587635,-92.68954876168898
94,9,"ARRIAGA, CHIAPAS",7,CHIAPAS,16.254951249999998,-93.89498812393427
95,10,"BEJUCAL DE OCAMPO, CHIAPAS",7,CHIAPAS,15.4856415,-92.1609900050219
96,11,"BELLA VISTA, CHIAPAS",7,CHIAPAS,15.6230496,-92.23229560652278
97,12,"BERRIOZÁBAL, CHIAPAS",7,CHIAPAS,16.871689449999998,-93.33707618047063
98,13,"BOCHIL, CHIAPAS",7,CHIAPAS,16.9955388,-92.8935374
99,14,"EL BOSQUE, CHIAPAS",7,CHIAPAS,17.0247264,-92.74723009318356
100,15,"CACAHOATÁN, CHIAPAS",7,CHIAPAS,15.087510850000001,-92.16463529853718
101,16,"CATAZAJÁ, CHIAPAS",7,CHIAPAS,17.76826375,-92.03793125285313
102,17,"CINTALAPA, CHIAPAS",7,CHIAPAS,16.7522451,-93.83280202563465
103,18,"COAPILLA, CHIAPAS",7,CHIAPAS,17.11828785,-93.10960695910299
104,19,"COMITÁN DE DOMÍNGUEZ, CHIAPAS",7,CHIAPAS,16.2911698,-92.17532124270645
105,20,"LA CONCORDIA, CHIAPAS",7,CHIAPAS,16.1178232,-92.6907913
106,21,"COPAINALÁ, CHIAPAS",7,CHIAPAS,17.0930214,-93.2102105
107,22,"CHALCHIHUITÁN, CHIAPAS",7,CHIAPAS,17.03249915,-92.61413039853753
108,23,"CHAMULA, CHIAPAS",7,CHIAPAS,16.81708545,-92.67804754933945
109,24,"CHANAL, CHIAPAS",7,CHIAPAS,16.6026265,-92.25726423867357
110,25,"CHAPULTENANGO, CHIAPAS",7,CHIAPAS,17.33581795,-93.13150209897267
111,26,"CHENALHÓ, CHIAPAS",7,CHIAPAS,16.971716100000002,-92.51921237690784
112,27,"CHIAPA DE CORZO, CHIAPAS",7,CHIAPAS,16.601322449999998,-92.99681558748827
113,28,"CHIAPILLA, CHIAPAS",7,CHIAPAS,16.55813005,-92.72303865358334
114,29,"CHICOASÉN, CHIAPAS",7,CHIAPAS,16.9949087,-93.11987946421964
115,30,"CHICOMUSELO, CHIAPAS",7,CHIAPAS,15.7935524,-92.41926620137892
116,31,"CHILÓN, CHIAPAS",7,CHIAPAS,17.1050377,-92.2734209
117,32,"ESCUINTLA, CHIAPAS",7,CHIAPAS,15.35100255,-92.55576537361532
118,33,"FRANCISCO LEÓN, CHIAPAS",7,CHIAPAS,17.291282799999998,-93.29046734698414
119,34,"FRONTERA COMALAPA, CHIAPAS",7,CHIAPAS,15.6590135,-92.1422219
120,35,"FRONTERA HIDALGO, CHIAPAS",7,CHIAPAS,14.7531678,-92.21613683447438
121,36,"LA GRANDEZA, CHIAPAS",7,CHIAPAS,15.51022385,-92.2152774270688
122,37,"HUEHUETÁN, CHIAPAS",7,CHIAPAS,15.021716399999999,-92.42866979063194
123,38,"HUIXTÁN, CHIAPAS",7,CHIAPAS,16.7104244,-92.453726
124,39,"HUITIUPÁN, CHIAPAS",7,CHIAPAS,17.24075365,-92.70285752586777
125,40,"HUIXTLA, CHIAPAS",7,CHIAPAS,15.122125,-92.50399707604466
126,41,"LA INDEPENDENCIA, CHIAPAS",7,CHIAPAS,16.21357175,-91.90544762515863
127,42,"IXHUATÁN, CHIAPAS",7,CHIAPAS,17.304767050000002,-93.01963020571903
128,43,"IXTACOMITÁN, CHIAPAS",7,CHIAPAS,17.426719849999998,-93.09991665350472
129,44,"IXTAPA, CHIAPAS",7,CHIAPAS,16.807622700000003,-92.898650478142
130,45,"IXTAPANGAJOYA, CHIAPAS",7,CHIAPAS,17.46108795,-92.97928574775597
131,46,"JIQUIPILAS, CHIAPAS",7,CHIAPAS,16.57497565,-93.60565427888373
